"","","Attention","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness"
"182","6634654","Milk Drop<br/>","-20.2  <br/>","<span style='width:92%'class='severnesslinebar'></span><br/>"
"42","3087165","SCC Indication<br/>Mastitis RF<br/>Conductivity RF<br/>","1419  <br/> <br/>91    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:71%'class='severnesslinebar'></span><br/><span style='width:42%'class='severnesslinebar'></span><br/>"
"173","3542711","SCC Indication<br/>","771   <br/>","<span style='width:100%'class='severnesslinebar'></span><br/>"
"26","3087118","Time Away<br/>Activity(rumination)<br/>Milk Drop<br/>","45:09 <br/>80    <br/>-15.2  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:100%'class='severnesslinebar'></span><br/><span style='width:21%'class='severnesslinebar'></span><br/>"
"202","3087167","SCC Indication<br/>Milk Drop<br/>Activity(rumination)<br/>","525   <br/>-20.7  <br/>85    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:100%'class='severnesslinebar'></span><br/><span style='width:57%'class='severnesslinebar'></span><br/>"
"77","3086851","Milk Temperature<br/>Mastitis LF<br/>Fat Protein Ratio<br/>Conductivity LF<br/>","104.7  <br/> <br/>1.57  <br/>92    <br/>","<span style='width:78%'class='severnesslinebar'></span><br/><span style='width:71%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:7%'class='severnesslinebar'></span><br/>"
"13","3086569","Milk Drop<br/>","-18.5  <br/>","<span style='width:71%'class='severnesslinebar'></span><br/>"
"88","3087586","Milk Drop<br/>Fat Protein Ratio<br/>","-3.9  <br/>1.03  <br/>","<span style='width:35%'class='severnesslinebar'></span><br/><span style='width:14%'class='severnesslinebar'></span><br/>"
"346","3183472","Milk Drop<br/>Fat Protein Ratio<br/>","-23.1 <br/>2.01  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:57%'class='severnesslinebar'></span><br/>"
"568","3184472","SCC Indication<br/>Conductivity RR<br/>","934   <br/>96    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:14%'class='severnesslinebar'></span><br/>"
"192","3543451","Conductivity RR<br/>Mastitis RR<br/>","137   <br/> <br/>","<span style='width:85%'class='severnesslinebar'></span><br/><span style='width:71%'class='severnesslinebar'></span><br/>"
"4","3086632","Activity(rumination)<br/>Milk Temperature<br/>Conductivity RR<br/>","79    <br/>102.9  <br/>85    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:21%'class='severnesslinebar'></span><br/><span style='width:14%'class='severnesslinebar'></span><br/>"
"184","3183423","Fresh cow performance<br/>Fat Protein Ratio<br/>","40    <br/>0.99  <br/>","<span style='width:57%'class='severnesslinebar'></span><br/><span style='width:21%'class='severnesslinebar'></span><br/>"
"145","3086699","Milk Temperature<br/>Milk Drop<br/>","103.6  <br/>-4.4  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:42%'class='severnesslinebar'></span><br/>"
"59","3087697","Milk Drop<br/>Time Away<br/>","-20.2  <br/>60:16 <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:57%'class='severnesslinebar'></span><br/>"
"164","3542845","Activity(rumination)<br/>Fat Protein Ratio<br/>","81    <br/>0.85  <br/>","<span style='width:92%'class='severnesslinebar'></span><br/><span style='width:57%'class='severnesslinebar'></span><br/>"
"235","6633202","Milk Drop<br/>Activity(rumination)<br/>","-18.0  <br/>88    <br/>","<span style='width:85%'class='severnesslinebar'></span><br/><span style='width:21%'class='severnesslinebar'></span><br/>"
