"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.1","27.1","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"182","New","x","DD1342","4","220","67.9","Pregnant","LUCKYCHARM SEXED","2025-12-15","","113","107","2026-09-21","In Lactation","","34.4","67.9","0","x","","2025-08-30","6634654"
"42","Increase","x","DD1262","6","143","27.3","Inseminated","ANGUS BLEND 17","2026-03-01","","","","","In Lactation","","10.1","27.3","0","x","","2025-11-15","3087165"
"202","Increase","x","DD1480","2","101","69.7","Open Cyclic","","","x","","","","In Lactation","","17.2","69.7","0","x","","2025-12-27","3087167"
"88","Increase","x","US DD1608","1","13","52.2","Open","","","","","","","In Lactation","","31.7","52.2","0","x","","2026-03-25","3087586"
"34","Decrease","","DD1364","4","55","72.1","Open","","","","","","","In Lactation","x","26.2","72.1","1","x","","2026-02-11","3086177"
"222","Decrease","","DD1455","2","235","80.9","Inseminated","CHAROLAIS BLEND 4","2026-02-26","x","","","","In Lactation","","31.1","80.9","0","x","","2025-08-15","6632589"
"69","Decrease","","DD1473","2","320","89.9","Pregnant","ANGUS BLEND 17","2025-12-08","","120","100","2026-09-14","In Lactation","","26.2","89.9","0","x","","2025-05-22","3087141"
"13","Decrease","x","US DD1602","3","216","45.6","Inseminated","POWERHOUSE -SEXED","2026-02-09","","","","","In Lactation","","15.2","45.6","0","x","","2025-09-03","3086569"
"346","Decrease","x","US DD1625","1","17","23.4","Open","","","","","","","In Lactation","x","1.8","23.4","1","x","","2026-03-21","3183472"
"17","Decrease","","US DD1660","3","332","78.3","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","24.7","78.3","0","x","","2025-05-10","3086731"
"43","Decrease","","US DD1675","3","48","82.9","Open","","","","","","","In Lactation","","24.5","82.9","0","x","","2026-02-18","3086557"
"568","Decrease","x","US DD1699","3","56","83.6","Open Cyclic","","","","","","","In Lactation","","38.1","83.6","1","x","","2026-02-10","3184472"
"192","Decrease","x","US DD1686","3","240","49.8","Open Cyclic","GIANT","2025-10-27","","","","","In Lactation","","23.6","49.8","0","x","","2025-08-10","3543451"
"218","Decrease","","US DD1712","3","80","76.3","Open Cyclic","","","","","","","In Lactation","","38.6","76.3","0","x","","2026-01-17","6632897"
"236","Decrease","","US DD1722","1","25","54.5","Open","","","","","","","In Lactation","","30.2","54.5","0","x","","2026-03-13","6632625"
"4","Decrease","x","US DD1724","3","26","26.0","Open","","","","","","","In Lactation","x","29.3","26.0","0","x","","2026-03-12","3086632"
"37","Decrease","","US DD1768","2","357","52.5","Pregnant","CHAROLAIS BLEND 4","2025-11-10","","148","72","2026-08-17","In Lactation","","30.6","52.5","0","x","","2025-04-15","3087451"
"261","Decrease","","US DD1829","3","136","101.9","Open Cyclic","POWERHOUSE -SEXED","2026-02-09","","","","","In Lactation","","20.5","101.9","1","x","","2025-11-22","6634657"
"1111","","","NL 1235469870","","","","Never inseminated","","","","","","","In Lactation","","","","","","","",""
"22","","","DD1022","7","289","28.9","Pregnant","BEETHOVEN SEXED","2025-10-08","","181","39","2026-07-15","In Lactation","x","15.4","28.9","0","x","","2025-06-22","3087348"
"66","","","DD1170","8","102","88.2","Inseminated","POWERHOUSE -SEXED","2026-02-22","x","","","","In Lactation","","26.2","88.2","1","x","","2025-12-26","3087248"
"166","","","DD1171","12","467","","Pregnant","ADAGIO","2025-07-18","","263","","2026-04-24","Dry Off","","8.2","","2","x","","2024-12-26","5927463"
"96","","","DD1196","5","228","69.7","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","29.5","69.7","0","x","","2025-08-22","3087977"
"110","","","DD1351","3","249","78.7","Open Cyclic","POWERHOUSE -SEXED","2026-02-26","","","","","In Lactation","","19.0","78.7","0","x","","2025-08-01","3087310"
"16","","","DD1357","4","223","57.1","Inseminated","CHAROLAIS BLEND 4","2026-02-24","x","","","","In Lactation","","22.3","57.1","0","x","","2025-08-27","3087866"
"76","","","DD1349","3","459","61.3","Pregnant","ANGUS BLEND 17","2026-01-28","","69","151","2026-11-04","In Lactation","","16.5","61.3","3","x","","2025-01-03","3087596"
"111","","","DD1402","3","353","64.6","Open Cyclic","CHAROLAIS BLEND 4","2026-02-10","","","","","In Lactation","","14.3","64.6","1","x","","2025-04-19","3086497"
"80","","","DD1406","3","328","58.6","Pregnant","ANGUS BLEND 17","2025-12-14","","114","106","2026-09-20","In Lactation","","17.4","58.6","0","x","","2025-05-14","3086149"
"205","","","DD1413","3","256","50.0","Inseminated","ANGUS BLEND 17","2026-02-28","","","","","In Lactation","","23.4","50.0","0","x","","2025-07-25","5925505"
"101","","","DD1272","5","236","78.3","Pregnant","shazam","2026-02-03","","63","157","2026-11-10","In Lactation","x","21.2","78.3","0","x","","2025-08-14","3087282"
"246","","","DD1411","3","447","","Pregnant","CHAROLAIS BLEND 4","2025-07-18","","263","","2026-04-24","Dry Off","","20.7","","2","x","","2025-01-15","3086605"
"57","","","DD1285","5","133","75.0","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","27.8","75.0","0","x","","2025-11-25","3087322"
"132","","","DD1311","4","467","","Pregnant","CHAROLAIS BLEND 4","2025-08-29","","221","","2026-06-05","Dry Off","","7.7","","0","x","","2024-12-26","3087361"
"173","","x","DD1321","5","22","93.7","Open","","","","","","","In Lactation","","20.5","93.7","0","x","","2026-03-16","3542711"
"63","","","DD1423","3","327","54.2","Pregnant","ANGUS BLEND 17","2025-12-14","","114","106","2026-09-20","In Lactation","","18.5","54.2","0","x","","2025-05-15","3086272"
"29","","","DD1595","3","287","51.8","Pregnant","SAVYSTRIDE","2025-12-03","","125","95","2026-09-09","In Lactation","","17.2","51.8","0","x","","2025-06-24","3086671"
"93","","","DD1425","3","335","65.7","Inseminated","ANGUS BLEND 17","2026-03-05","","","","","In Lactation","","18.7","65.7","2","x","","2025-05-07","3086243"
"149","","","DD1416","3","327","54.9","Pregnant","DO IT NOW SEXED","2025-10-04","","185","35","2026-07-11","In Lactation","","22.7","54.9","1","x","","2025-05-15","3087997"
"83","","","DD1426","3","210","85.3","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","17.6","85.3","7","x","","2025-09-09","6641288"
"46","","","DD1415","3","231","81.8","Pregnant","SAVYSTRIDE","2025-11-30","","128","92","2026-09-06","In Lactation","","24.0","81.8","0","x","","2025-08-19","3351614"
"21","","","DD1420","3","284","72.8","Pregnant","ANGUS BLEND 17","2026-01-04","","93","127","2026-10-11","In Lactation","","20.7","72.8","0","x","","2025-06-27","3087503"
"190","","","US DD1432","3","204","61.3","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","28.4","61.3","0","x","","2025-09-15","3353629"
"92","","","DD1433","3","184","86.0","Pregnant","shazam","2026-01-04","","93","127","2026-10-11","In Lactation","","24.5","86.0","3","x","","2025-10-05","3087516"
"78","","","DD1435","3","70","91.7","Open","","","x","","","","In Lactation","","25.8","91.7","0","x","","2026-01-27","3087494"
"103","","","DD1438","3","22","116.6","Open","","","","","","","In Lactation","","26.0","116.6","0","x","","2026-03-16","3087255"
"62","","","US DD1627","3","192","84.0","Open Cyclic","GIANT","2026-02-02","x","","","","In Lactation","","19.0","84.0","0","x","","2025-09-27","3087292"
"211","","","DD1440","1","343","85.3","Inseminated","ANGUS BLEND 17","2026-03-04","","","","","In Lactation","","29.1","85.3","0","x","","2025-04-29","6641911"
"271","","","DD1441","2","157","61.1","Inseminated","ANGUS BLEND 17","2026-03-30","","","","","In Lactation","x","25.8","61.1","0","x","","2025-11-01","6642304"
"115","","","DD1442","3","4","54.7","Open","","","","","","","In Lactation","","15.2","54.7","2","x","","2026-04-03","3087667"
"123","","","DD1443","2","310","45.2","Pregnant","BOLDIN","2025-10-20","","169","51","2026-07-27","In Lactation","","26.7","45.2","0","x","","2025-06-01","3086581"
"1063","","","DD1444","","","0.0","Open","DREAMMAKER SEX","2023-06-28","x","","","","Young Stock","","","0.0","","","","2021-11-12",""
"139","","","DD1445","2","240","57.3","Pregnant","BOLDNESS SEXED","2025-10-19","","170","50","2026-07-26","In Lactation","","22.3","57.3","1","x","","2025-08-10","3087241"
"268","","","DD1446","2","298","70.8","Pregnant","ANGUS BLEND 17","2025-12-08","","120","100","2026-09-14","In Lactation","","16.8","70.8","7","x","","2025-06-13","6641401"
"71","","","DD1447","2","369","88.8","Inseminated","CHAROLAIS BLEND 4","2026-02-17","","","","","In Lactation","","24.5","88.8","0","x","","2025-04-03","3087258"
"6","","","DD1449","2","323","88.2","Inseminated","CHAROLAIS BLEND 4","2026-02-24","x","","","","In Lactation","","22.7","88.2","0","x","","2025-05-19","3087355"
"56","","","DD1453","2","226","48.1","Pregnant","SAVYSTRIDE","2025-11-08","","150","70","2026-08-15","In Lactation","x","40.1","48.1","0","x","","2025-08-24","3086452"
"73","","","DD1328","3","196","70.3","Inseminated","SAVYSTRIDE","2026-04-02","","","","","In Lactation","","21.6","70.3","1","x","","2025-09-23","3542905"
"1081","","","DD1459","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-02-27",""
"14","","","DD1332","4","200","73.4","Pregnant","LUCKYCHARM SEXED","2025-12-15","","113","107","2026-09-21","In Lactation","","20.7","73.4","0","x","","2025-09-19","3087979"
"118","","","US DD1456","2","329","86.4","Pregnant","","2025-11-28","","130","90","2026-09-04","In Lactation","","32.8","86.4","2","x","","2025-05-13","3087755"
"45","","","DD1462","2","332","","Pregnant","GAMEREADY SEXED","2025-07-23","","258","","2026-04-29","Dry Off","","7.5","","0","x","","2025-05-10","3086129"
"269","","","DD1463","1","654","","Pregnant","ANGUS BLEND 17","2025-07-01","","280","","2026-04-07","Dry Off","","14.3","","0","x","","2024-06-22","6642024"
"143","","","DD1467","2","236","77.8","Inseminated","ANGUS BLEND 17","2026-03-19","x","","","","In Lactation","","16.5","77.8","1","x","","2025-08-14","3183515"
"199","","","DD1470","2","204","99.6","Pregnant","POWERHOUSE -SEXED","2025-12-16","","112","108","2026-09-22","In Lactation","","30.6","99.6","0","x","","2025-09-15","6633146"
"23","","","DD1471","1","364","54.9","Pregnant","GIANT","2025-09-23","","196","24","2026-06-30","In Lactation","","26.7","54.9","0","x","","2025-04-08","3087231"
