"Animal Number","Robot","Animal Tag Id","Animal Life No. ","Group","Location","Lactation No.","Lactation days","Reproduction Status","Last Insemination","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Gender"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Young stock","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Drinking Calves","Farm","","","Never inseminated","","","","","Young Stock","Female"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"0","","","","Bulls","Farm","","","Unknown","","","","","Bulls","Male"
"2","103","3086479","US DD1654","Main","North","1","6","Open","","","","","In Lactation","Female"
"3","104","3086603","US 1744","North Milking Cows","North","1","3","Open","","","","","In Lactation","Female"
"4","102","3086632","US DD1724","South Milking Cows","South","3","14","Open","","","","","In Lactation","Female"
"6","102","3087355","DD1449","South Milking Cows","South","2","311","Inseminated","2026-02-24","","","","In Lactation","Female"
"7","103","3087274","DD1542","North Milking Cows","North","1","260","Pregnant","2025-09-22","185","35","2026-06-29","In Lactation","Female"
"10","103","3086174","US DD1571","Main","North","1","254","Pregnant","2025-09-07","200","20","2026-06-14","In Lactation","Female"
"13","102","3086569","US DD1602","South Milking Cows","South","3","204","Inseminated","2026-02-09","","","","In Lactation","Female"
"14","102","3087979","DD1332","South Milking Cows","South","4","188","Pregnant","2025-12-15","101","119","2026-09-21","In Lactation","Female"
