"Animal Number","Animal Tag Id","Animal Life No. ","Lactation Days","Day Production","Date","Rumination Minutes","Intake Total","Rest Feed","Failures","Milkings","Fat/Protein Ratio","SCC Indication","Refusals","Day production Dev."
"AVG","","","","62.0","","","","","","","","","",""
"SUM","","","","","","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-13","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-14","","","","","","","","",""
"22","3087348","DD1022","295","28.2","2026-04-13","380","5.18","3.02","0","1","1.56","","2","-1.54"
"22","3087348","DD1022","296","26.9","2026-04-14","413","","","0","2","1.62","","1","-2.20"
"66","3087248","DD1170","108","81.3","2026-04-13","562","17.98","0.47","3","2","1.09","","0","-7.50"
"66","3087248","DD1170","109","82.7","2026-04-14","539","","","3","1","1.15","","0","-5.07"
"166","5927463","DD1171","473","","2026-04-13","500","","","","","","","",""
"166","5927463","DD1171","474","","2026-04-14","460","","","","","","","",""
"96","3087977","DD1196","234","69.0","2026-04-13","551","12.86","0.25","0","3","1.21","","2","-3.75"
"96","3087977","DD1196","235","69.4","2026-04-14","508","","","0","3","1.15","","11","-2.65"
"182","6634654","DD1342","226","78.0","2026-04-13","574","13.81","0.21","0","3","1.35","","3","-3.53"
"182","6634654","DD1342","227","73.9","2026-04-14","605","","","0","3","1.39","","8","-6.61"
"110","3087310","DD1351","255","73.4","2026-04-13","584","14.58","0.27","0","4","1.22","","4","-7.94"
"110","3087310","DD1351","256","71.0","2026-04-14","616","","","0","3","1.22","","16","-9.26"
"16","3087866","DD1357","229","56.2","2026-04-13","491","13.83","0.24","0","3","1.20","","8","-1.10"
"16","3087866","DD1357","230","55.3","2026-04-14","485","","","0","2","1.21","","3","-1.54"
"34","3086177","DD1364","61","55.8","2026-04-13","527","17.02","0.33","1","2","1.27","","0","-8.82"
"34","3086177","DD1364","62","56.9","2026-04-14","466","","","0","2","1.26","","0","-6.39"
"76","3087596","DD1349","465","59.7","2026-04-13","480","15.30","0.23","0","3","1.50","","5","-1.98"
"76","3087596","DD1349","466","58.4","2026-04-14","493","","","0","2","1.47","","6","-2.87"
"42","3087165","DD1262","149","34.0","2026-04-13","465","12.74","0.18","0","3","1.33","","5","10.14"
"42","3087165","DD1262","150","32.2","2026-04-14","499","","","0","1","1.34","","4","6.17"
"111","3086497","DD1402","359","67.5","2026-04-13","558","16.43","0.25","0","4","1.33","","7","-3.31"
"111","3086497","DD1402","360","68.6","2026-04-14","494","","","0","2","1.33","","5","-1.10"
"80","3086149","DD1406","334","58.6","2026-04-13","437","15.30","0.24","0","4","1.37","","13","-1.32"
"80","3086149","DD1406","335","58.9","2026-04-14","472","","","0","2","1.36","","9","-0.44"
"205","5925505","DD1413","262","49.8","2026-04-13","502","13.54","0.22","0","3","1.37","","4","-1.32"
"205","5925505","DD1413","263","47.6","2026-04-14","502","","","0","2","1.35","","9","-2.87"
"101","3087282","DD1272","242","80.9","2026-04-13","395","17.50","0.42","0","4","1.30","","4","-4.85"
"101","3087282","DD1272","243","80.7","2026-04-14","428","","","0","3","1.31","","1","-4.85"
"246","3086605","DD1411","453","","2026-04-13","512","","","","","","","",""
"246","3086605","DD1411","454","","2026-04-14","523","","","","","","","",""
"57","3087322","DD1285","139","67.5","2026-04-13","562","13.26","1.71","0","2","1.29","","0","-7.94"
"57","3087322","DD1285","140","68.3","2026-04-14","542","","","0","2","1.32","","1","-6.39"
"132","3087361","DD1311","473","","2026-04-13","366","","","","","","","",""
"132","3087361","DD1311","474","","2026-04-14","367","","","","","","","",""
"173","3542711","DD1321","28","82.0","2026-04-13","641","17.08","0.40","1","3","1.12","","0","-5.51"
"173","3542711","DD1321","29","84.9","2026-04-14","651","","","0","2","1.14","","0","-1.76"
"63","3086272","DD1423","333","54.7","2026-04-13","441","14.11","0.22","0","3","1.41","","3","-1.54"
"63","3086272","DD1423","334","55.8","2026-04-14","474","","","0","2","1.41","","3","-0.22"
"29","3086671","DD1595","293","51.1","2026-04-13","402","10.18","0.15","0","2","1.22","","3","-3.09"
"29","3086671","DD1595","294","51.1","2026-04-14","441","","","0","2","1.10","","3","-2.20"
"93","3086243","DD1425","341","72.8","2026-04-13","441","11.37","0.17","0","3","1.27","","5","0.22"
"93","3086243","DD1425","342","66.4","2026-04-14","482","","","0","3","1.31","","6","-5.51"
"149","3087997","DD1416","333","55.8","2026-04-13","563","13.54","0.27","0","3","1.39","","6","-3.31"
"149","3087997","DD1416","334","56.4","2026-04-14","543","","","0","2","1.37","","1","-1.98"
"83","6641288","DD1426","216","86.6","2026-04-13","574","17.26","0.34","0","5","1.23","","9","-2.65"
"83","6641288","DD1426","217","82.7","2026-04-14","554","","","0","3","1.19","","20","-5.73"
"46","3351614","DD1415","237","84.4","2026-04-13","522","17.20","0.36","0","5","1.16","","4","-1.98"
"46","3351614","DD1415","238","82.0","2026-04-14","565","","","0","3","1.14","","0","-3.75"
"21","3087503","DD1420","290","76.9","2026-04-13","413","16.07","0.37","0","3","1.36","","1","-3.97"
"21","3087503","DD1420","291","70.3","2026-04-14","480","","","0","3","1.44","","1","-9.04"
"190","3353629","US DD1432","210","59.1","2026-04-13","501","12.98","0.24","0","3","1.46","","5","-1.32"
"190","3353629","US DD1432","211","54.0","2026-04-14","499","","","0","3","1.42","","5","-5.73"
"92","3087516","DD1433","190","75.6","2026-04-13","481","18.75","0.31","0","3","1.15","","0","-9.04"
"92","3087516","DD1433","191","78.5","2026-04-14","502","","","0","3","1.20","","0","-4.41"
"78","3087494","DD1435","76","85.1","2026-04-13","656","16.55","0.28","0","3","1.13","","0","-8.82"
"78","3087494","DD1435","77","87.1","2026-04-14","564","","","0","2","1.12","","1","-5.07"
"103","3087255","DD1438","28","111.6","2026-04-13","595","20.06","0.46","0","4","1.13","","0","6.39"
"103","3087255","DD1438","29","108.2","2026-04-14","537","","","0","2","1.19","","0","2.43"
"62","3087292","US DD1627","198","85.3","2026-04-13","548","17.50","0.39","0","5","1.40","","19","-4.63"
