animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
2,3086479,US DD1654,12,2026-04-01,47.8,621,12.49,1.29,0,2,1.06,,4,7.28,Voice Agent Report Historical 4.2.1.csv
3,3086603,US 1744,9,2026-04-01,52,499,14.74,0.65,0,3,1.04,,1,9.48,Voice Agent Report Historical 4.2.1.csv
4,3086632,US DD1724,20,2026-04-01,20.1,98,6.31,7.43,0,1,1.3,,0,-12.13,Voice Agent Report Historical 4.2.1.csv
6,3087355,DD1449,317,2026-04-01,99.9,416,18.51,0.33,0,3,1.34,29,2,-1.54,Voice Agent Report Historical 4.2.1.csv
7,3087274,DD1542,266,2026-04-01,50,585,15.1,0.23,0,3,1.57,,0,-5.95,Voice Agent Report Historical 4.2.1.csv
10,3086174,US DD1571,260,2026-04-01,69,442,12.77,0.24,0,3,1.31,,5,-6.17,Voice Agent Report Historical 4.2.1.csv
12,3086327,US DD1752,,2026-04-01,,,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
13,3086569,US DD1602,210,2026-04-01,65.5,562,13.45,0.25,0,3,1.19,549,0,-3.75,Voice Agent Report Historical 4.2.1.csv
14,3087979,DD1332,194,2026-04-01,78.7,521,14.7,0.3,0,3,1.15,55,0,-3.53,Voice Agent Report Historical 4.2.1.csv
15,3087121,DD1546,274,2026-04-01,56.9,442,14.67,0.25,0,3,1.32,,0,-0.44,Voice Agent Report Historical 4.2.1.csv
16,3087866,DD1357,217,2026-04-01,57.5,388,17.07,0.3,0,3,1.09,,0,-1.54,Voice Agent Report Historical 4.2.1.csv
17,3086731,US DD1660,326,2026-04-01,87.5,289,19.17,0.26,0,3,1.39,,1,-1.32,Voice Agent Report Historical 4.2.1.csv
20,3086114,DD1558,141,2026-04-01,55.3,482,11.99,0.42,0,2,1.23,,0,0.66,Voice Agent Report Historical 4.2.1.csv
21,3087503,DD1420,278,2026-04-01,91,473,16.9,0.28,0,3,1.49,87,0,-4.63,Voice Agent Report Historical 4.2.1.csv
22,3087348,DD1022,283,2026-04-01,28.9,402,10.65,4.12,0,2,1.75,61,0,-4.85,Voice Agent Report Historical 4.2.1.csv
23,3087231,DD1471,358,2026-04-01,69.9,516,19.47,0.32,0,4,1.38,,8,-3.97,Voice Agent Report Historical 4.2.1.csv
24,3086116,DD1490,117,2026-04-01,95.2,477,17.26,0.35,0,4,1.18,71,4,-3.31,Voice Agent Report Historical 4.2.1.csv
