"","","Attention","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness"
"66","3087248","Conductivity RR<br/>Mastitis RR<br/>","104   <br/> <br/>","<span style='width:75%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>"
"97","3088051","Activity(rumination)<br/>","76    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/>"
"77","3086851","Mastitis LF<br/>Fat Protein Ratio<br/>Conductivity LF<br/>"," <br/>1.57  <br/>108   <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:43%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>"
"64","3087236","Time Away<br/>Milk Drop<br/>Conductivity LR<br/>Fat Protein Ratio<br/>","50:33 <br/>-5.2  <br/>84    <br/>1.42  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:56%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"257","6634640","Conductivity LR<br/>Mastitis LR<br/>Fresh cow performance<br/>Fat Protein Ratio<br/>","131   <br/> <br/>52    <br/>1.05  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>"
"27","3087387","Fresh cow performance<br/>Activity(rumination)<br/>Fat Protein Ratio<br/>","52    <br/>88    <br/>1.43  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"17","3086731","Mastitis RF<br/>Milk Temperature<br/>Conductivity RF<br/>"," <br/>103.4  <br/>107   <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/><span style='width:31%'class='severnesslinebar'></span><br/>"
"217","6634709","Milk Drop<br/>Fat Protein Ratio<br/>","-15.8  <br/>1.07  <br/>","<span style='width:75%'class='severnesslinebar'></span><br/><span style='width:0%'class='severnesslinebar'></span><br/>"
"224","6642406","Activity(rumination)<br/>Time Away<br/>Fat Protein Ratio<br/>","76    <br/>33:07 <br/>1.02  <br/>","<span style='width:100%'class='severnesslinebar'></span><br/><span style='width:87%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>"
"184","3183423","Fresh cow performance<br/>Fat Protein Ratio<br/>Milk Temperature<br/>","33    <br/>0.98  <br/>103.1  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/>"
"243","6633246","Milk Drop<br/>","-15.4  <br/>","<span style='width:68%'class='severnesslinebar'></span><br/>"
"231","6635053","Conductivity RR<br/>Mastitis RR<br/>","143   <br/> <br/>","<span style='width:81%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>"
