"Animal Number","Disease Name (With Milk Separation)","Milk Separation Start Date","Hot Rinse Activated","Milk Separation Status","Milk Separation End Date","Milk Separation Type","Milk Separation Remaining Days","Milk Separation Tank","Failed Milking","Too Late for Milking","Away","Interval Exceed","Pregnant since","Milk Yield Expected","Age","Insemination Number","Optimum Insemination Moment","Heat Probability Max.","Last Heat","Lactation No.","Lactation days","Days Pregnant","Sire","Pregnancy Remark","Calving Remark"
"205","Acute Mastitis (acute catarrhal mastitis)","","No ","","","","","","","","07:44","100","","15.2"," 5.01","3","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='218'></div>","26","2025-09-19","3","271","","ANGUS BLEND 17","Vet ck-open,dirty,reck 1mo.","Vet ck-open,dirty,reck 1mo.10778  -  Keep Calf - No"
"239","BRSV vaccination","","No ","","","","","","","","01:54","44","","8.8"," 6.03","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='578'></div>","80","","5","64","","","","Easy Unassisted "
"1111","","","No ","","","","","","","","","","","","21.03","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","","","","","",""
"22","Dryoff","","No ","","","","","","","","04:44","40","2025-10-08","5.1"," 8.04","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","7","304","196","BEETHOVEN SEXED","Vet ck-pg","Vet ck-pg10780  - Charlais beef calf"
"66","Metritis","","No ","","","","","","","","06:11","126","","20.7"," 9.06","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","8","117","","POWERHOUSE -SEXED","Vet ck-open,CL right","Vet ck-open,CL right10778 "
"166","Acute Mastitis (acute catarrhal mastitis)","2025-12-20","No ","Confirmed","2025-12-25","Treatment","-119","Sewer","","","2984:26","24870","2025-07-18","22.9","14.01","6","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","12","482","278","ADAGIO","Vet ck-pg","Vet ck-pg10778 "
"96","Female infertility","","No ","","","","","","","","02:37","45","","7.3"," 8.05","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-03-30","5","243","","ANGUS BLEND 17","Vet ck-pg ck-stat left,CL right","Vet ck-pg ck-stat left,CL right10779  - beef"
"182","BRSV vaccination","","No ","","","","","","","","04:15","83","2025-12-15","13.4"," 6.00","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-10-03","4","235","128","LUCKYCHARM SEXED","Vet ck-preg","Vet ck-preg10779  - beef charolais"
"110","Female infertility","","No ","","","","","","","","04:08","77","","12.6"," 5.11","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-03-25","3","264","","POWERHOUSE -SEXED","","Easy Unassisted  -  Keep Calf - No"
"16","Female infertility","","No ","","","","","","","","05:33","72","2026-02-24","12.6"," 5.09","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-01-01","4","238","57","CHAROLAIS BLEND 4","Vet ck-pg","Vet ck-pg10778  -  Keep Calf - No"
