"Animal Number","Disease Name (With Milk Separation)","Milk Separation Start Date","Hot Rinse Activated","Milk Separation Status","Milk Separation End Date","Milk Separation Type","Milk Separation Remaining Days","Milk Separation Tank","Group Number","Reproduction Status","Robot","Failed Milking","Too Late for Milking","Days Since Heat","Away","Interval Exceed","Age","Insemination Number","Optimum Insemination Moment","Heat Probability Max.","Last Heat","Lactation No.","Lactation days","Days Pregnant","Sire","Pregnancy Remark","Calving Remark","Pregnant since","Milk Yield Expected"
"250","Female infertility","","No ","","","","","","3","Open Cyclic","103","","","25","02:00","26"," 3.08","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='1887'></div>","84","2026-03-30","1","261","","ANGUS BLEND 17","Vet ck-Open,Cl left,lut","Vet ck-Open,Cl left,lut10779  - Beef angus -  Keep Calf - No","","4.0"
"217","BRSV vaccination","","No ","","","","","","103","Open","101","","","","07:56","184"," 4.04","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='207'></div>","40","","3","63","","","","Not Entered  -  Keep Calf - No","","30.9"
"243","Acute Mastitis (acute catarrhal mastitis)","","No ","","","","","","103","Inseminated","102","","x","21","12:01","234"," 5.03","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='567'></div>","96","2026-01-09","3","130","","ANGUS BLEND 17","","Not Entered ","","38.1"
"1323","Female infertility","","No ","","","","","","1","Inseminated","","","","20","",""," 1.11","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='927'></div>","100","","","","","DO IT NOW SEXED","","","",""
"1111","","","No ","","","","","","108","Never inseminated","","","","","","","21.04","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","","","","","","","",""
"22","Vaccinations","","No ","","","","","","103","Pregnant","102","","","198","04:50","67"," 8.04","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","7","306","198","BEETHOVEN SEXED","Vet ck-pg","Vet ck-pg10780  - Charlais beef calf","2025-10-08","5.3"
"66","Metritis","","No ","","","","","","103","Open","102","x","x","61","35:49","730"," 9.06","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","8","119","","POWERHOUSE -SEXED","Vet ck-open,CL right","Vet ck-open,CL right10778 ","","0.0"
"166","","2026-04-24","No ","Confirmed","2026-04-28","Colostrum","3","M4USE","103","Open","102","x","x","","11:46","218","14.02","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","13","1","","","","Not Entered  -  Keep Calf - No","","4.9"
"96","Female infertility","","No ","","","","","","103","Inseminated","102","","","22","03:50","64"," 8.05","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-03-30","5","245","","ANGUS BLEND 17","Vet ck-pg ck-stat left,CL right","Vet ck-pg ck-stat left,CL right10779  - beef","","10.6"
"182","BRSV vaccination","","No ","","","","","","103","Pregnant","101","","","130","02:33","49"," 6.00","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-10-03","4","237","130","LUCKYCHARM SEXED","Vet ck-preg","Vet ck-preg10779  - beef charolais","2025-12-15","7.9"
"110","Female infertility","","No ","","","","","","103","Open Cyclic","102","","","30","02:30","47"," 5.11","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-03-25","3","266","","POWERHOUSE -SEXED","","Easy Unassisted  -  Keep Calf - No","","7.7"
"16","Female infertility","","No ","","","","","","3","Pregnant","103","","","59","05:48","75"," 5.09","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-01-01","4","240","59","CHAROLAIS BLEND 4","Vet ck-pg","Vet ck-pg10778  -  Keep Calf - No","2026-02-24","13.0"
"34","BRSV vaccination","","No ","","","","","","103","Open","101","","","","05:45","96"," 5.08","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","4","72","","","","Easy Unassisted ","","15.4"
"76","Female infertility","","No ","","","","","","103","Pregnant","102","","","86","04:45","70"," 5.08","8","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","3","476","86","ANGUS BLEND 17","Vet ck-PG","Vet ck-PG10779 ","2026-01-28","11.5"
"42","BRSV vaccination","","No ","","","","","","103","Pregnant","101","","","54","01:39","23"," 7.05","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","6","160","54","ANGUS BLEND 17","Vet ck-pg","Vet ck-pg10778  - Bull calf -  Keep Calf - No","2026-03-01","2.4"
"111","BRSV vaccination","","No ","","","","","","103","Inseminated","101","","","4","04:21","75"," 5.04","4","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-03-30","3","370","","CHAROLAIS BLEND 4","Vet ck-preg ck-open,Stat left,stat right, off sync","Vet ck-preg ck-open,Stat left,stat right, off sync10778  -  Keep Calf - No","","12.1"
"80","BRSV vaccination","","No ","","","","","","103","Pregnant","102","","","131","05:52","84"," 5.01","5","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-06-16","3","345","131","ANGUS BLEND 17","Vet ck-preg","Vet ck-preg10778 ","2025-12-14","13.9"
"205","Acute Mastitis (acute catarrhal mastitis)","","No ","","","","","","3","Open Cyclic","103","","","55","01:12","16"," 5.01","3","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-09-19","3","273","","ANGUS BLEND 17","Vet ck-open,dirty,reck 1mo.","Vet ck-open,dirty,reck 1mo.10778  -  Keep Calf - No","","2.4"
"101","BRSV vaccination","","No ","","","","","","103","Pregnant","101","","","80","03:35","75"," 7.01","4","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-12-13","5","253","80","shazam","Vet ck-PG","Vet ck-PG10779  -  Keep Calf - No","2026-02-03","12.1"
"246","Vaccinations","","No ","","","","","","8","Pregnant","103","","","280","1525:58","12716"," 5.00","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","3","464","280","CHAROLAIS BLEND 4","Vet ck-pg","Vet ck-pg10779 ","2025-07-18","32.0"
"57","Female infertility","","No ","","","","","","3","Open Cyclic","103","","","5","04:39","67"," 7.00","1","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-04-19","5","150","","ANGUS BLEND 17","","Easy Unassisted ","","12.8"
"132","Vaccinations","","No ","","","","","","8","Pregnant","101","","","238","844:28","10556"," 7.03","4","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","4","484","238","CHAROLAIS BLEND 4","","Not Entered ","2025-08-29","15.9"
"173","BRSV vaccination","","No ","","","","","","103","Open","102","","","","00:59","23"," 6.08","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","5","39","","","","Easy Unassisted  -  Keep Calf - No","","3.7"
"63","Female infertility","","No ","","","","","","103","Pregnant","102","","","131","02:36","36"," 4.11","3","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-06-30","3","344","131","ANGUS BLEND 17","Vet ck-preg","Vet ck-preg10779 ","2025-12-14","5.3"
"29","Metritis","","No ","","","","","","103","Pregnant","102","","","142","03:58","55"," 4.11","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-07-19","3","304","142","SAVYSTRIDE","Vet ck-pg","Vet ck-pg10779  - Beef calf","2025-12-03","8.8"
