"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conductivity","","","","","","","","","","","",""
"Animal Number","Animal Tag Id","Animal Life No. ","Date","Lactation days","Day Production","Rest Feed","Failures","Failed Milking","Milkings","Milkings","Fat/Protein Ratio","Nr of Refusal","Day Production (24h)","Day Production (24h) Deviation","Color Code LF-LR-RF-RR","End Milk Till","Milk Separation","Body Score","Intake Total","Rest Feed Total","SCC Indication","Last Fertility Diagnose","Last Fertility Remarks","Last Fertility","Days Since Heat","Expected Calving","Insemination No.","Pregnancy Check Date","Pregnancy Status","LF","LR","RR","RF","Milk Temperature","Rumination Herd","Rumination Att. Count","Inversion/Ketosis","Activity Deviation","Rumination Minutes","Robot","Group Number","Group"
"AVG","","","","","","","","","","","","","","","","","","","13.75","0.45","","","","","","","","","","","","","","","","","","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20047","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","1","Default"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","9","Drinking Calves"
"20042","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"20049","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"1473","","DD 1992","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","468","","","","","","11","Young stock"
"22","3087348","DD1022","2026-04-14","297","28.0","227","4","","2.5","1.9","1.62","0","28.0","-1.1","- |  - |  - |  -","","","","8.75","0.74","190","Pregnant","Vet ck-pg","2025-12-19","189","","2","2025-12-19","Pregnant","90","90","98","0","99.3","468","0","x","7","486","102","103","South Milking Cows"
"66","3087248","DD1170","2026-04-14","110","82.7","55","105","x","2.9","1.3","1.17","0","82.7","-4.0","- |  - |  - |  -","","","","14.35","0.41","30","Metritis","Vet ck-reck dirty-clean","2026-02-20","52","","1","","","73","73","0","72","101.3","468","0","","2","508","101","103","South Milking Cows"
"166","5927463","DD1171","","475","","112","35","","2.8","2.0","1.23","2","","-0.9","[] Mastitis |  - |  [] Mastitis |  -","2025-12-25","","","","","","Pregnant","Vet ck-pg","2025-09-19","271","x","6","2025-09-19","Pregnant","112","90","90","102","97.3","468","0","","3","539","101","8","Dry Cows"
"96","3087977","DD1196","2026-04-14","236","69.4","412","0","","2.2","3.3","1.15","0","69.4","-2.2","- |  - |  - |  -","","","","16.90","0.35","210","Fertility cycling","Vet ck-57+DIM-stat left,CL right,lut, offsync in 5 days if no heat.","2026-02-20","13","","2","2026-01-16","Not Pregnant","66","68","68","0","101.1","468","0","","9","506","102","103","South Milking Cows"
"42","3087165","DD1262","2026-04-14","151","31.5","333","25","","2.9","2.4","1.34","0","31.5","3.7","- |  - |  - |  -","","","","5.77","0.30","1106","","","","45","","2","","","75","75","0","75","101.8","468","0","","7","423","101","103","South Milking Cows"
"101","3087282","DD1272","2026-04-14","244","83.6","474","10","","2.5","3.4","1.31","0","83.6","-2.0","- |  - |  - |  -","","","","13.45","0.26","","Pregnant","Vet ck-PG","2026-03-20","71","","4","2026-03-20","Pregnant","74","76","74","74","102.7","468","0","","16","452","101","103","South Milking Cows"
"57","3087322","DD1285","2026-04-14","141","67.7","179","26","","2.5","2.9","1.32","0","67.7","-6.4","- |  - |  - |  -","","","","17.00","0.23","","Female infertility","Vet ck-75+DIM-Fol left,stat right,off sync","2026-02-21","13","","1","","","71","71","0","71","102.0","468","0","","1","540","103","3","North Milking Cows"
"132","3087361","DD1311","","475","","320","6","","2.8","1.0","1.79","0","","-3.7","- |  - |  - |  -","","","","","","","Pregnant","","2025-10-17","229","","4","2025-10-17","Pregnant","80","75","87","72","99.3","468","0","x","9","246","101","8","Dry Cows"
"173","3542711","DD1321","2026-04-14","30","90.6","24","2","","3.0","3.3","1.10","0","90.6","2.0","- |  - |  - |  [] Mastitis","2026-04-06","","","15.60","0.27","2793","","","","","","","","","68","73","83","72","100.4","468","0","","10","633","102","103","South Milking Cows"
"73","3542905","DD1328","2026-04-14","204","72.3","317","9","","3.1","3.4","1.28","0","72.3","2.0","- |  - |  - |  -","","","","16.01","0.23","916","Off sync program","Vet ck-open,fol left,stat right,offsync, Vet ck-open,fol left,stat right,offsync","2026-03-20","13","","2","2026-03-20","Not Pregnant","61","70","63","67","100.6","468","0","","4","594","102","103","South Milking Cows"
"14","3087979","DD1332","2026-04-14","208","73.2","366","6","","2.4","3.3","1.24","0","73.2","0.0","- |  - |  - |  -","","","","13.99","0.38","33","Pregnant","Vet ck-preg,twins reck 120D","2026-02-20","121","","1","2026-02-20","Pregnant","68","72","71","0","102.0","468","0","","13","533","101","103","South Milking Cows"
"182","6634654","DD1342","2026-04-14","228","76.1","456","7","","3.0","4.0","1.40","0","76.1","-3.7","- |  - |  - |  -","","","","18.81","0.30","117","Pregnant","Vet ck-preg","2026-02-20","121","","2","2026-02-20","Pregnant","68","70","70","0","102.2","468","0","","13","608","101","103","South Milking Cows"
"76","3087596","DD1349","2026-04-14","467","60.2","441","14","","2.6","2.9","1.49","0","60.2","-0.9","- |  - |  - |  -","","","","14.52","0.22","89","Pregnant","Vet ck-PG","2026-03-20","77","","8","2026-03-20","Pregnant","63","63","63","68","102.4","468","0","","6","471","101","103","South Milking Cows"
"110","3087310","DD1351","2026-04-14","257","73.0","93","9","","4.1","4.6","1.24","0","73.0","-6.0","- |  - |  - |  -","","","","14.29","0.31","299","Fertility cycling","Vet ck-57+DIM-LC right,lut,offsync in 3 days if no heat","2026-02-20","21","","2","","","0","69","69","69","102.2","468","0","","9","666","101","103","South Milking Cows"
"16","3087866","DD1357","2026-04-14","231","54.7","86","6","","2.6","2.9","1.21","0","54.7","-2.0","- |  - |  - |  -","","","","13.26","0.22","","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","50","","1","","","70","72","73","0","100.9","468","0","","11","472","103","3","North Milking Cows"
"34","3086177","DD1364","2026-04-14","63","68.1","161","26","","1.7","2.4","1.29","0","68.1","5.5","- |  - |  - |  -","","","","14.23","0.27","2507","Dirty cow","","2026-02-21","","","","","","68","68","88","83","100.6","468","0","","4","490","101","103","South Milking Cows"
"77","3086851","DD1365","2026-04-14","55","61.3","79","3","","2.4","2.7","1.51","0","61.3","-3.5","[M] Mastitis |  [M]  |  [M]  |  [M] ","2026-04-06","x","","16.43","0.27","","Dirty cow","","2026-03-20","","","","","","106","67","67","0","101.7","468","0","x","10","465","101","103","South Milking Cows"
"97","3088051","DD1373","","486","","141","92","x","3.0","0.0","0.00","93","","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2026-01-16","189","","6","2026-01-16","Pregnant","0","68","78","0","98.6","468","2","","0","278","101","1","Default"
"133","3087396","DD1374","2026-04-14","236","66.4","783","4","","1.8","2.6","1.19","1","66.4","3.3","- |  - |  - |  -","","","","14.11","0.22","3369","Fertility cycling","Vet ck-reck-clean,Cl left,lut","2025-11-21","50","","3","","","65","66","63","69","101.7","468","0","","5","525","101","103","South Milking Cows"
"142","3086184","DD1376","","541","","688","12","","2.1","1.3","1.98","2","","-5.7","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","253","","8","2025-09-19","Pregnant","81","74","71","66","98.8","468","0","x","-2","591","102","8","Dry Cows"
"28","3087460","DD1380","2026-04-14","164","54.2","143","1","","2.7","3.0","1.31","2","54.2","-1.1","- |  - |  - |  -","","","","12.74","0.18","48","Female infertility","Vet ck-75+DIM-cyst right,offsync","2026-02-20","20","","","","","0","71","70","0","101.1","468","0","","0","455","102","103","South Milking Cows"
