"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.0","26.5","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"64","Increase","x","US DD1624","1","9","26.9","Open","","","","","","","In Lactation","x","0.4","26.9","0","x","","2026-04-04","3087236"
"27","Increase","x","US DD1655","1","10","33.7","Open","","","","","","","In Lactation","x","17.0","33.7","0","x","","2026-04-03","3087387"
"4","Increase","x","US DD1724","3","32","34.4","Open","","","","","","","In Lactation","x","23.4","34.4","0","x","","2026-03-12","3086632"
"62","Decrease","","US DD1627","3","198","79.8","Open Cyclic","GIANT","2026-02-02","","","","","In Lactation","","17.0","79.8","0","x","","2025-09-27","3087292"
"269","Decrease","x","DD1463","2","6","39.0","Open","","","","","","","In Lactation","","40.3","39.0","0","x","","2026-04-07","6642024"
"162","Decrease","","DD1482","2","211","64.2","Pregnant","BOLDNESS SEXED","2025-12-23","","111","109","2026-09-29","In Lactation","","20.3","64.2","0","x","","2025-09-14","5926949"
"98","Decrease","","DD1487","2","117","99.6","Inseminated","SAVYSTRIDE","2026-03-30","","","","","In Lactation","","31.5","99.6","0","x","","2025-12-17","3087882"
"31","Decrease","","DD1394","4","111","79.4","Inseminated","DO IT NOW SEXED","2026-03-14","","","","","In Lactation","","16.1","79.4","0","x","","2025-12-23","3087281"
"345","Decrease","","US DD1572","1","20","43.0","Open","","","","","","","In Lactation","","37.5","43.0","0","x","","2026-03-24","3184368"
"257","Decrease","x","US DD1648","1","5","21.4","Open","","","","","","","In Lactation","","13.4","21.4","0","x","","2026-04-08","6634640"
"39","Decrease","","US DD1662","4","489","","Pregnant","ANGUS BLEND 17","2025-08-04","","252","","2026-05-11","Dry Off","","29.1","","1","x","","2024-12-10","6642027"
"1111","","","NL 1235469870","","","","Never inseminated","","","","","","","In Lactation","","","","","","","",""
"22","","","DD1022","7","295","31.5","Pregnant","BEETHOVEN SEXED","2025-10-08","","187","33","2026-07-15","In Lactation","x","13.0","31.5","2","x","","2025-06-22","3087348"
"66","","x","DD1170","8","108","79.6","Inseminated","POWERHOUSE -SEXED","2026-02-22","","","","","In Lactation","x","19.4","79.6","0","x","","2025-12-26","3087248"
"166","","","DD1171","12","473","","Pregnant","ADAGIO","2025-07-18","","269","","2026-04-24","Dry Off","","8.2","","2","x","","2024-12-26","5927463"
"96","","","DD1196","5","234","70.8","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","25.6","70.8","0","x","","2025-08-22","3087977"
"182","","","DD1342","4","226","79.4","Pregnant","LUCKYCHARM SEXED","2025-12-15","","119","101","2026-09-21","In Lactation","","20.1","79.4","0","x","","2025-08-30","6634654"
"110","","","DD1351","3","255","74.3","Open Cyclic","POWERHOUSE -SEXED","2026-02-26","x","","","","In Lactation","","18.7","74.3","0","x","","2025-08-01","3087310"
"16","","","DD1357","4","229","55.8","Inseminated","CHAROLAIS BLEND 4","2026-02-24","","","","","In Lactation","","20.5","55.8","2","x","","2025-08-27","3087866"
"34","","","DD1364","4","61","68.1","Open","","","x","","","","In Lactation","x","2.6","68.1","0","x","","2026-02-11","3086177"
"76","","","DD1349","3","465","58.9","Pregnant","ANGUS BLEND 17","2026-01-28","","75","145","2026-11-04","In Lactation","","23.8","58.9","1","x","","2025-01-03","3087596"
"42","","","DD1262","6","149","33.3","Inseminated","ANGUS BLEND 17","2026-03-01","x","","","","In Lactation","","11.7","33.3","0","x","","2025-11-15","3087165"
"111","","","DD1402","3","359","72.8","Open Cyclic","CHAROLAIS BLEND 4","2026-02-10","","","","","In Lactation","","23.4","72.8","1","x","","2025-04-19","3086497"
"80","","","DD1406","3","334","56.9","Pregnant","ANGUS BLEND 17","2025-12-14","","120","100","2026-09-20","In Lactation","","17.6","56.9","0","x","","2025-05-14","3086149"
"205","","","DD1413","3","262","49.8","Inseminated","ANGUS BLEND 17","2026-02-28","x","","","","In Lactation","","19.4","49.8","0","x","","2025-07-25","5925505"
"101","","","DD1272","5","242","86.9","Pregnant","shazam","2026-02-03","","69","151","2026-11-10","In Lactation","","31.3","86.9","1","x","","2025-08-14","3087282"
"246","","","DD1411","3","453","","Pregnant","CHAROLAIS BLEND 4","2025-07-18","","269","","2026-04-24","Dry Off","","20.7","","2","x","","2025-01-15","3086605"
"57","","","DD1285","5","139","67.9","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","34.4","67.9","0","x","","2025-11-25","3087322"
"132","","","DD1311","4","473","","Pregnant","CHAROLAIS BLEND 4","2025-08-29","","227","","2026-06-05","Dry Off","","7.7","","0","x","","2024-12-26","3087361"
"173","","","DD1321","5","28","87.5","Open","","","","","","","In Lactation","x","0.0","87.5","0","x","","2026-03-16","3542711"
"63","","","DD1423","3","333","56.0","Pregnant","ANGUS BLEND 17","2025-12-14","","120","100","2026-09-20","In Lactation","","24.7","56.0","0","x","","2025-05-15","3086272"
"29","","","DD1595","3","293","53.8","Pregnant","SAVYSTRIDE","2025-12-03","","131","89","2026-09-09","In Lactation","","21.6","53.8","0","x","","2025-06-24","3086671"
"93","","","DD1425","3","341","73.2","Inseminated","ANGUS BLEND 17","2026-03-05","","","","","In Lactation","","17.2","73.2","0","x","","2025-05-07","3086243"
"149","","","DD1416","3","333","56.0","Pregnant","DO IT NOW SEXED","2025-10-04","","191","29","2026-07-11","In Lactation","","20.5","56.0","0","x","","2025-05-15","3087997"
"83","","","DD1426","3","216","83.6","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","18.1","83.6","1","x","","2025-09-09","6641288"
"46","","","DD1415","3","237","83.1","Pregnant","SAVYSTRIDE","2025-11-30","","134","86","2026-09-06","In Lactation","","17.6","83.1","0","x","","2025-08-19","3351614"
"21","","","DD1420","3","290","80.5","Pregnant","ANGUS BLEND 17","2026-01-04","","99","121","2026-10-11","In Lactation","","33.1","80.5","0","x","","2025-06-27","3087503"
"190","","","US DD1432","3","210","57.3","Inseminated","ANGUS BLEND 17","2026-04-02","","","","","In Lactation","","17.2","57.3","0","x","","2025-09-15","3353629"
"92","","","DD1433","3","190","76.5","Pregnant","shazam","2026-01-04","","99","121","2026-10-11","In Lactation","","32.8","76.5","0","x","","2025-10-05","3087516"
"78","","","DD1435","3","76","85.1","Open","","","x","","","","In Lactation","","34.0","85.1","0","x","","2026-01-27","3087494"
"103","","","DD1438","3","28","112.0","Open","","","","","","","In Lactation","","38.6","112.0","0","x","","2026-03-16","3087255"
"211","","","DD1440","1","349","73.4","Inseminated","ANGUS BLEND 17","2026-03-04","x","","","","In Lactation","","22.0","73.4","0","x","","2025-04-29","6641911"
"271","","","DD1441","2","163","54.9","Inseminated","ANGUS BLEND 17","2026-03-30","","","","","In Lactation","","17.2","54.9","0","x","","2025-11-01","6642304"
"115","","","DD1442","3","10","67.7","Open","","","","","","","In Lactation","","28.9","67.7","1","x","","2026-04-03","3087667"
"123","","","DD1443","2","316","48.1","Pregnant","BOLDIN","2025-10-20","","175","45","2026-07-27","In Lactation","","15.7","48.1","0","x","","2025-06-01","3086581"
"1063","","","DD1444","","","0.0","Open","DREAMMAKER SEX","2023-06-28","x","","","","Young Stock","","","0.0","","","","2021-11-12",""
"139","","","DD1445","2","246","52.7","Pregnant","BOLDNESS SEXED","2025-10-19","","176","44","2026-07-26","In Lactation","","25.6","52.7","0","x","","2025-08-10","3087241"
"268","","","DD1446","2","304","66.6","Pregnant","ANGUS BLEND 17","2025-12-08","","126","94","2026-09-14","In Lactation","","15.0","66.6","0","x","","2025-06-13","6641401"
"71","","","DD1447","2","375","77.4","Inseminated","CHAROLAIS BLEND 4","2026-02-17","","","","","In Lactation","","19.2","77.4","0","x","","2025-04-03","3087258"
"6","","","DD1449","2","329","92.4","Inseminated","CHAROLAIS BLEND 4","2026-02-24","","","","","In Lactation","","34.0","92.4","1","x","","2025-05-19","3087355"
"56","","","DD1453","2","232","46.3","Pregnant","SAVYSTRIDE","2025-11-08","","156","64","2026-08-15","In Lactation","x","19.0","46.3","0","x","","2025-08-24","3086452"
