"Animal Number","Animal Tag Id","Animal Life No. ","Lactation Days","Day Production","Date","Rumination Minutes","Intake Total","Rest Feed","Failures","Milkings","Fat/Protein Ratio","SCC Indication","Refusals","Day production Dev."
"AVG","","","","71.4","","","","","","","","","",""
"SUM","","","","","","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-03","","","","","","","","",""
"1111","","NL 1235469870","","","2026-04-04","","","","","","","","",""
"22","3087348","DD1022","285","34.2","2026-04-03","440","5.30","2.36","0","1","1.65","","0","0.88"
"22","3087348","DD1022","286","30.9","2026-04-04","520","15.12","0.50","0","3","1.59","63","0","-1.98"
"66","3087248","DD1170","98","99.2","2026-04-03","451","21.19","0.59","3","2","1.08","53","0","-0.22"
"66","3087248","DD1170","99","102.1","2026-04-04","516","12.86","0.36","2","2","1.05","53","1","3.53"
"166","5927463","DD1171","463","","2026-04-03","546","","","","","","","",""
"166","5927463","DD1171","464","","2026-04-04","556","","","","","","","",""
"96","3087977","DD1196","224","78.9","2026-04-03","518","12.08","0.48","0","2","1.24","67","0","0.00"
"96","3087977","DD1196","225","75.0","2026-04-04","587","20.00","1.78","0","3","1.27","67","0","-3.53"
"182","6634654","DD1342","216","90.6","2026-04-03","654","18.39","0.32","0","3","1.40","","0","-4.41"
"182","6634654","DD1342","217","88.8","2026-04-04","633","20.18","0.29","0","5","1.47","348","7","-5.07"
"110","3087310","DD1351","245","92.8","2026-04-03","657","20.60","0.37","0","4","1.35","419","0","3.53"
"110","3087310","DD1351","246","92.8","2026-04-04","608","16.07","0.34","0","4","1.29","425","4","0.22"
"16","3087866","DD1357","219","62.8","2026-04-03","459","11.01","0.17","0","2","1.15","","0","2.87"
"16","3087866","DD1357","220","61.3","2026-04-04","456","15.31","0.20","0","3","1.15","","3","0.66"
"34","3086177","DD1364","51","53.4","2026-04-03","508","13.33","2.97","0","2","1.29","","2","-8.82"
"34","3086177","DD1364","52","46.5","2026-04-04","541","16.13","2.19","2","1","1.43","","1","-14.99"
"76","3087596","DD1349","455","66.1","2026-04-03","512","14.05","0.22","0","3","1.57","310","1","0.22"
"76","3087596","DD1349","456","67.5","2026-04-04","510","15.30","0.21","0","3","1.52","363","1","1.32"
"42","3087165","DD1262","139","15.4","2026-04-03","480","14.17","1.29","1","2","1.45","3026","6","-11.24"
"42","3087165","DD1262","140","18.7","2026-04-04","598","10.95","0.15","0","3","1.52","2246","6","-3.31"
"111","3086497","DD1402","349","77.4","2026-04-03","587","18.15","0.28","0","3","1.40","","0","-2.43"
"111","3086497","DD1402","350","61.7","2026-04-04","577","13.69","0.22","0","3","1.41","389","0","-16.98"
"80","3086149","DD1406","324","66.4","2026-04-03","503","13.33","0.23","0","3","1.39","261","3","5.73"
