"","","Attention","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category"
"83","6641288","","","","","x","BRSV vaccination","IV"
"1111","","","","","","","",""
"22","3087348","Conductivity RR<br/>","94    <br/>","<span style='width:43%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"66","3087248","Mastitis RR<br/>Conductivity RR<br/>"," <br/>96    <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:50%'class='severnesslinebar'></span><br/>","","","Metritis","II"
"166","5927463","","","","","","Acute Mastitis (acute catarrhal mastitis)","V"
"96","3087977","","","","","","Female infertility","IV"
"182","6634654","","","","","","BRSV vaccination","IV"
"110","3087310","Milk Temperature<br/>","102.7  <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"16","3087866","","","","","","Female infertility","IV"
"34","3086177","","","","","","BRSV vaccination","II"
"76","3087596","","","","","","Female infertility","V"
"42","3087165","","","","","","BRSV vaccination","III"
"111","3086497","","","","","","BRSV vaccination","V"
"80","3086149","","","","","","BRSV vaccination","V"
"205","5925505","","","","","","Acute Mastitis (acute catarrhal mastitis)","IV"
"101","3087282","Milk Temperature<br/>","103.2  <br/>","<span style='width:31%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","IV"
"246","3086605","","","","","","Vaccinations","V"
"57","3087322","","","","","","Female infertility","III"
"132","3087361","","","","","","Vaccinations","V"
"173","3542711","Mastitis RR<br/>Conductivity RR<br/>"," <br/>89    <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/>","","","Acute Mastitis (acute catarrhal mastitis)","I"
"63","3086272","","","","","","Female infertility","V"
"29","3086671","","","","","","Metritis","IV"
"93","3086243","","","","","","Female infertility","V"
"149","3087997","","","","","","Female infertility","V"
"46","3351614","","","","","","Acute Mastitis (acute catarrhal mastitis)","IV"
"21","3087503","","","","","","BRSV vaccination","IV"
"190","3353629","","","","","","Female infertility","IV"
"92","3087516","","","","","","BRSV vaccination","III"
"78","3087494","","","","","","BRSV vaccination","II"
"103","3087255","","","","","","Vaccinations","I"
"62","3087292","","","","","","Female infertility","IV"
"211","6641911","Milk Drop<br/>","-8.8  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","Female infertility","V"
"271","6642304","","","","","","Metritis","III"
"115","3087667","Milk Temperature<br/>","103.6  <br/>","<span style='width:43%'class='severnesslinebar'></span><br/>","","","Vaccinations","I"
"123","3086581","","","","","","Female infertility","V"
"139","3087241","Conductivity RF<br/>","84    <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"268","6641401","","","","","","Female infertility","V"
"71","3087258","","","","","","Metritis","V"
"6","3087355","","","","","","Female infertility","V"
"56","3086452","","","","","","BRSV vaccination","IV"
"222","6632589","","","","","","BRSV vaccination","IV"
"73","3542905","Milk Temperature<br/>","102.5  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","Female infertility","IV"
"1081","","","","","","","",""
"14","3087979","","","","","","BRSV vaccination","IV"
"118","3087755","Conductivity LF<br/>","98    <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","Female infertility","V"
"45","3086129","","","","","","Dryoff","V"
