"Animal Number","Animal Name","Location","Expected application done date time","Medicine Dosage","Dosage Unit","Description","Claw/Teat","Treatment Plan Name","Disease Name","Last Routing Visit Direction","Route of Administration","MusId","Medicine Name","Lactation Days","Lactation Number"
"22","","South","2026-04-17 16:43","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5755","Ultrabac 8","299","7"
"22","","South","2026-04-17 16:43","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5756","Endovac-dairy","299","7"
"173","","South","2026-04-17 16:34","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5754","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","32","5"
"103","","South","2026-04-17 16:10","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5744","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","32","3"
"115","","South","2026-04-17 16:12","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5751","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","14","3"
"23"," ","North","2026-04-17 16:46","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5767","Ultrabac 8","374","1"
"23"," ","North","2026-04-17 16:46","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5768","Endovac-dairy","374","1"
"95"," ","South","2026-04-17 16:47","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5775","Ultrabac 8","289","2"
"95"," ","South","2026-04-17 16:47","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5776","Endovac-dairy","289","2"
"125","","North","2026-04-17 16:46","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5769","Ultrabac 8","355","1"
"125","","North","2026-04-17 16:46","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5770","Endovac-dairy","355","1"
"82","  3","North","2026-04-17 16:45","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5759","Ultrabac 8","291","1"
"82","  3","North","2026-04-17 16:45","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5760","Endovac-dairy","291","1"
"148"," 71","South","2026-04-17 16:46","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5763","Ultrabac 8","290","1"
"148"," 71","South","2026-04-17 16:46","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5765","Endovac-dairy","290","1"
"7"," ","North","2026-04-17 16:46","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5766","Endovac-dairy","282","1"
"7"," ","North","2026-04-17 16:46","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5764","Ultrabac 8","282","1"
"207"," ","North","2026-04-17 16:46","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5771","Ultrabac 8","269","1"
"207"," ","North","2026-04-17 16:46","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5772","Endovac-dairy","269","1"
"155"," ","North","2026-04-17 16:45","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5761","Ultrabac 8","300","1"
"155"," ","North","2026-04-17 16:45","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5762","Endovac-dairy","300","1"
"186"," ","North","2026-04-17 16:47","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5773","Ultrabac 8","257","1"
"186"," ","North","2026-04-17 16:47","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5774","Endovac-dairy","257","1"
"25","","North","2026-04-17 16:45","11.02","Gram/cc","Ultrabac 8  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5757","Ultrabac 8","288","1"
"25","","North","2026-04-17 16:45","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Dry cow vac","Vaccinations","","Intra musculair","5758","Endovac-dairy","288","1"
"345"," ","North","2026-04-17 16:10","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5728","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","24","1"
"90"," 1","North","2026-04-17 16:12","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5752","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","17","1"
"88"," ","North","2026-04-17 16:10","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5743","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","23","1"
"252"," ","North","2026-04-17 16:10","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5735","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","23","1"
"346","","North","2026-04-17 16:10","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","Separation room South","Intra musculair","5734","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","27","1"
"138"," ","North","2026-04-22 20:09","4.41","Gram/cc","Endovac-dairy  Intra musculair","","Herd Vaccination plan","Mastitis vaccination","Separation room South","Intra musculair","5780","Endovac-dairy","0","1"
"204","","North","2026-04-17 16:12","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5749","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","18","1"
"60"," ","North","2026-04-17 16:12","4.41","Injection/Tube","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine  Intra musculair","","Fresh cow vaccination ","BRSV vaccination","","Intra musculair","5750","Bovine Rhinotracheitis-virus Diarrhea-Parainfluenza 3- Respiratory Syncytial virus vaccine","18","1"
