"","","Attention","","","","","","","","","","","","","","","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category","Last Insemination","Insemination Remarks","Failures","Milkings","Milk Frequency","Day Production","Day production Deviation","Calving Remark","Heat Remarks","Insemination Number","Health Remarks","Expected Calving Date","On set of heat","Hours Since Heat"
"250","6635110","","","","","x","Female infertility","IV","2026-01-28","","5","2.1","2.8","47.2","-0.4","Vet ck-Open,Cl left,lut10779  - Beef angus -  Keep Calf - No","","2","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","2026-04-23 14:00","31"
"217","6634709","","","","","x","BRSV vaccination","II","","","1","3.7","5.0","90.8","-2.4","Not Entered  -  Keep Calf - No","","","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","2026-04-24 18:00","3"
"243","6633246","Conductivity RF<br/>","98    <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","x","Metabolic diseases other","III","2026-04-03","","2","3.0","4.2","77.2","1.1","Not Entered ","","1","<div class='healthremarks' bWeight='False' bMastitis='True' bPlanned='False'></div>","","2026-04-24 12:00","9"
"1323","3543443","","","","","x","Female infertility","","2026-04-04","","0","","3.0","0.0","0.0","","","1","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","2026-04-24 06:00","15"
"1111","","","","","","","","","","","","","","","","","","","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","",""
"22","3087348","Conductivity RR<br/>Mastitis LF<br/>","106   <br/> <br/>","<span style='width:81%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>","","","Vaccinations","V","2025-10-08","","4","2.5","3.0","23.1","-2.4","Vet ck-pg10780  - Charlais beef calf","","2","<div class='healthremarks' bWeight='False' bMastitis='True' bPlanned='False'></div>","2026-07-15","",""
"66","3087248","Conductivity RR<br/>Mastitis RR<br/>","99    <br/> <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>","x","","Metritis","II","2026-02-22","","135","2.8","4.4","69.4","-9.9","Vet ck-open,CL right10778 ","","1","<div class='healthremarks' bWeight='False' bMastitis='True' bPlanned='False'></div>","","",""
"166","5927463","Conductivity LR<br/>","86    <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","Acute Mastitis (acute catarrhal mastitis)","I","","","0","1.0","4.0","30.9","7.9","Not Entered  -  Keep Calf - No","","","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","",""
"96","3087977","","","","","","Female infertility","IV","2026-04-02","","0","2.2","3.6","56.0","-9.0","Vet ck-pg ck-stat left,CL right10779  - beef","","2","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","",""
"182","6634654","Activity(rumination)<br/>","86    <br/>","<span style='width:37%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","IV","2025-12-15","","7","3.1","4.1","71.4","-3.1","Vet ck-preg10779  - beef charolais","","2","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","2026-09-21","",""
"110","3087310","","","","","","Female infertility","IV","2026-02-26","","9","4.1","4.0","74.1","1.3","Easy Unassisted  -  Keep Calf - No","","2","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","","",""
"16","3087866","Activity(rumination)<br/>","86    <br/>","<span style='width:37%'class='severnesslinebar'></span><br/>","","","Female infertility","IV","2026-02-24","","6","2.6","2.8","49.8","-3.5","Vet ck-pg10778  -  Keep Calf - No","","1","<div class='healthremarks' bWeight='False' bMastitis='False' bPlanned='False'></div>","2026-12-01","",""
