"Animal Number","Disease Name (With Milk Separation)","Milk Separation Start Date","Hot Rinse Activated","Milk Separation Status","Milk Separation End Date","Milk Separation Type","Milk Separation Remaining Days","Milk Separation Tank","Age","Insemination Number","Optimum Insemination Moment","Heat Probability Max.","Last Heat","Lactation No.","Lactation days","Days Pregnant","Sire","Pregnancy Remark","Calving Remark"
"173","","2026-04-15","No ","Confirmed","2026-04-21","Manual","5","M4USE"," 6.08","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","5","31","","","","Easy Unassisted  -  Keep Calf - No"
"78","","2026-04-15","No ","Confirmed","2026-04-21","Manual","5","M4USE"," 4.07","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","3","79","","","","Easy Unassisted "
"192","","2026-04-15","No ","Confirmed","2026-04-21","Manual","5","M4USE"," 4.04","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2026-03-29","3","249","","GIANT","","Easy Unassisted "
"248","","2026-04-15","No ","Confirmed","2026-04-21","Manual","5","M4USE"," 5.11","5","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","4","336","","ANGUS BLEND 17","","Easy Unassisted  - Beef"
"77","Acute Mastitis (acute catarrhal mastitis)","2026-04-01","No ","Confirmed","2026-04-19","Treatment","2","M4USE"," 5.08","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","4","56","","","","Not Entered "
"113","","2026-04-17","No ","Confirmed","2026-04-19","Colostrum","2","M4USE"," 2.02","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","1","0","","","","Not Entered "
"49","","2026-04-14","No ","Confirmed","2026-04-18","Colostrum","2","M4USE"," 3.10","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","2","2","","","","Easy Unassisted "
"12","","2026-04-13","No ","Confirmed","2026-04-17","Colostrum","0","M4USE"," 2.01","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","1","4","","","","Not Entered  - was 1297 -  Keep Calf - No"
"1261","","2026-03-30","No ","Confirmed","2026-04-01","Colostrum","-15","M4USE"," 2.05","","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","","1","17","","","","Easy Unassisted  - Bull -  Keep Calf - No"
"245","","2026-03-20","No ","Confirmed","2026-03-24","Manual","-23","M4USE"," 5.09","2","<div class='timeperiod' nStart='180' nEnd='1080' nCurrent='9999'></div>","","2025-11-24","4","180","","POWERHOUSE","Vet ck-pg-open,stat left CL right,lut","Vet ck-pg-open,stat left CL right,lut10779  - Charolais -  Keep Calf - No"
